instance,dimacs_time,dimacs_size,opb_time,opb_size,opb_pbcount_time,d4_time,d4_count,p2d_time,p2d_count,pbcount_time,pbcount_count
synthesized/except_one/groupCard/medium/root_41.uvl,-1;-1;-1,-4,1.68;1.79;1.72,12310,0.02;0.02;0.02,-3;-3;-3,-4,0.04;0.04;0.08,23552258550313978123014331349342355456,-3;-3;-3,-9
synthesized/except_one/groupCard/medium/root_42.uvl,-1;-1;-1,-4,1.66;1.92;1.69,38964,0.04;0.04;0.04,-3;-3;-3,-4,0.22;0.22;0.31,72258529256034513507078635520,-1;-1;-1,-9
synthesized/except_one/groupCard/medium/root_43.uvl,-1;-1;-1,-4,1.72;1.74;1.93,51489,0.06;0.06;0.06,-3;-3;-3,-4,0.33;0.31;0.44,26670911381914437139737348145152,-1;-1;-1,-9
synthesized/except_one/groupCard/medium/root_44.uvl,-1;-1;-1,-4,1.75;1.65;1.55,20223,0.02;0.02;0.02,-3;-3;-3,-4,0.06;0.06;0.06,18702692788469760,-3;-3;-3,-9
synthesized/except_one/groupCard/medium/root_45.uvl,-1;-1;-1,-4,3.84;4.15;3.84,583970,0.53;0.54;0.53,-3;-3;-3,-4,1.54;1.52;1.46,79933889228770206108728855422304256,-1;-1;-1,-9
synthesized/except_one/groupCard/medium/root_46.uvl,-1;-1;-1,-4,1.46;1.53;1.70,11944,0.01;0.02;0.01,-3;-3;-3,-4,0.04;0.04;0.04,2771370439310242742658603320711577600,-3;-3;-3,-9
synthesized/except_one/groupCard/medium/root_47.uvl,-1;-1;-1,-4,1.38;1.45;1.91,9786,0.01;0.02;0.03,-3;-3;-3,-4,0.03;0.03;0.03,80530636800,-3;-3;-3,-9
synthesized/except_one/groupCard/medium/root_48.uvl,-1;-1;-1,-4,1.76;1.65;1.74,42245,0.04;0.07;0.04,-3;-3;-3,-4,0.11;0.41;0.15,32061759065948160,-3;-3;-3,-9
synthesized/except_one/groupCard/medium/root_49.uvl,-1;-1;-1,-4,2.18;2.35;1.88,24230,0.03;0.03;0.03,-3;-3;-3,-4,0.10;0.07;0.07,227886968000993034240,-3;-3;-3,-9
synthesized/except_one/groupCard/medium/root_4.uvl,-1;-1;-1,-4,1.58;1.70;1.40,17989,0.02;-9;0.02,-3;-3;-3,-4,0.05;0.05;0.05,5160960,-1;-1;-1,-9
synthesized/except_one/groupCard/medium/root_50.uvl,-1;-1;-1,-4,2.35;2.49;2.36,174556,0.17;0.16;0.18,-3;-3;-3,-4,2.07;2.07;2.11,6170194930821158847653318675666090245876087197403435472149129457489951271989809250304,-1;-1;-1,-9
synthesized/except_one/groupCard/medium/root_51.uvl,-1;-1;-1,-4,1.76;1.85;2.00,34461,0.04;0.04;0.04,-3;-3;-3,-4,0.23;0.65;0.29,44265747036810667622400,-3;-3;-3,-9
synthesized/except_one/groupCard/medium/root_52.uvl,-3;-3;-3,-4,2.67;2.60;2.65,249377,-9;-9;0.24,-3;-3;-3,-4,11.83;8.06;8.23,148765431885551563587770978430716192016501081572315921129668608000000,-1;-1;-1,-9
synthesized/except_one/groupCard/medium/root_53.uvl,-1;-1;-1,-4,1.62;1.63;1.60,18276,0.02;0.07;0.04,-3;-3;-3,-4,0.05;0.10;0.11,24923024920967172616946382380256460800,-3;-3;-3,-9
synthesized/except_one/groupCard/medium/root_54.uvl,-1;-1;-1,-4,1.54;1.50;1.83,27496,0.03;0.03;0.03,-3;-3;-3,-4,0.09;0.10;0.08,452984832,-1;-1;-1,-9
synthesized/except_one/groupCard/medium/root_55.uvl,-1;-1;-1,-4,1.99;1.61;1.76,34100,0.04;0.04;0.05,-3;-3;-3,-4,0.11;0.11;0.11,27268899426961144676352,-3;-3;-3,-9
synthesized/except_one/groupCard/medium/root_56.uvl,-1;-1;-1,-4,1.93;1.97;2.00,106410,0.10;0.10;0.10,-3;-3;-3,-4,0.65;0.78;0.70,742779160027019236784209920,-1;-1;-1,-9
