instance,dimacs_time,dimacs_size,opb_time,opb_size,opb_pbcount_time,d4_time,d4_count,p2d_time,p2d_count,pbcount_time,pbcount_count
isolated/featureCard/featureCard_0.25_1.0/root_1900.uvl,-3;-3;-3,-4,38.72;38.31;49.82,3651806,3.72;3.97;5.73,-3;-3;-3,-4,-1;-1;-1,-9,-1;-1;-1,-9
isolated/featureCard/featureCard_0.25_1.0/root_2000.uvl,-3;-3;-3,-4,45.43;47.33;45.10,4044006,4.41;4.08;4.13,-3;-3;-3,-4,-1;-1;-1,-9,-1;-1;-1,-9
isolated/featureCard/featureCard_0.25_1.0/root_200.uvl,2.28;2.21;2.42,1231107,0.69;0.68;0.69,44406,0.05;0.06;0.06,-1;-1;-1,-9,3.91;3.24;4.04,11599764060367852958063154054102610821909861565237879034455269703220238210821942595885917477803396161717961395976572870628458308579143537905274340281130542488325487507218954101416458786327617979892768298959503660859262682769457692824269978421141292302682826319965376500933793638872129583477521516958953368400989242594850842825085957731082301909282597206983984114375317135900050363471218309766882451505788183482854493646963827766121552709662277633,3.82;8.44;3.86,-9
isolated/featureCard/featureCard_0.25_1.0/root_2100.uvl,-3;-3;-3,-4,57.25;51.62;51.39,4456206,4.65;4.58;4.59,-3;-3;-3,-4,-1;-1;-1,-9,-1;-1;-1,-9
isolated/featureCard/featureCard_0.25_1.0/root_2200.uvl,-3;-3;-3,-4,65.32;62.27;59.23,4888406,5.35;5.38;5.11,-3;-3;-3,-4,-1;-1;-1,-9,-1;-1;-1,-9
isolated/featureCard/featureCard_0.25_1.0/root_2300.uvl,-3;-3;-3,-4,71.63;67.94;72.90,5340606,6.03;5.87;5.36,-3;-3;-3,-4,-1;-2;-2,-9,-1;-1;-1,-9
isolated/featureCard/featureCard_0.25_1.0/root_2400.uvl,-3;-3;-3,-4,75.78;79.71;80.43,5812806,6.18;6.13;6.16,-3;-3;-3,-4,-2;-2;-2,-9,-1;-1;-1,-9
isolated/featureCard/featureCard_0.25_1.0/root_2500.uvl,-3;-3;-1,-4,89.64;85.35;87.89,6305006,6.67;6.61;6.45,-3;-3;-3,-4,-2;-2;-2,-9,-1;-1;-1,-9
isolated/featureCard/featureCard_0.25_1.0/root_2600.uvl,-3;-3;-3,-4,97.58;104.27;102.30,6817206,10.66;7.30;7.28,-3;-3;-3,-4,-2;-2;-2,-9,-1;-1;-1,-9
isolated/featureCard/featureCard_0.25_1.0/root_2700.uvl,-3;-3;-3,-4,-3;-3;-3,-4,-3;-3;-3,-3;-3;-3,-4,-3;-3;-3,-4,-3;-3;-3,-4
isolated/featureCard/featureCard_0.25_1.0/root_2800.uvl,-3;-3;-3,-4,-3;-3;-3,-4,-3;-3;-3,-3;-3;-3,-4,-3;-3;-3,-4,-3;-3;-3,-4
isolated/featureCard/featureCard_0.25_1.0/root_2900.uvl,-3;-3;-3,-4,-3;-3;-3,-4,-3;-3;-3,-3;-3;-3,-4,-3;-3;-3,-4,-3;-3;-3,-4
isolated/featureCard/featureCard_0.25_1.0/root_3000.uvl,-3;-3;-1,-4,-3;-3;-3,-4,-3;-3;-3,-3;-3;-3,-4,-3;-3;-3,-4,-3;-3;-3,-4
